datetime,tempmax,tempmin,humidity,windspeed,precip
2000-01-01,25.5,7.9,69,24.8,0.0
2000-01-02,25.6,17.4,78,24.4,0.9
2000-01-03,20.3,12.2,42,27.8,0.7
2000-01-04,12.1,4.3,33,32.1,0.0
2000-01-05,14.3,-0.9,43,21.6,0.0
2000-01-06,19.6,5.1,81,16.5,1.0
2000-01-07,13.8,11.2,95,20.9,28.3
2000-01-08,16.6,9.9,83,13.0,5.6
2000-01-09,22.6,7.6,63,21.2,0.0
2000-01-10,23.8,7.1,36,17.1,0.0
2000-01-11,24.9,8.3,68,16.7,0.0
2000-01-12,24.7,15.8,85,25.3,0.0
2000-01-13,20.1,11.2,63,23.6,0.0
2000-01-14,17.7,9.0,35,17.3,0.0
2000-01-15,22.2,7.5,68,25.8,0.0
2000-01-16,22.7,14.0,76,25.9,0.0
2000-01-17,23.6,15.1,74,20.1,0.0
2000-01-18,25.8,14.2,75,19.6,0.0
2000-01-19,27.9,13.1,64,18.7,0.0
2000-01-20,17.4,8.2,38,25.9,0.0
2000-01-21,18.3,4.9,59,19.2,0.0
2000-01-22,23.7,15.3,79,25.6,0.0
2000-01-23,22.4,11.3,66,18.9,0.0
2000-01-24,15.8,6.9,52,16.8,0.0
2000-01-25,16.1,4.6,46,16.4,0.0
2000-01-26,10.1,3.7,43,13.7,0.0
2000-01-27,8.2,2.7,88,23.9,17.3
2000-01-28,6.4,0.2,66,22.9,0.0
2000-01-29,6.9,-0.9,59,16.3,0.0
2000-01-30,9.4,-2.7,66,11.1,0.0
2000-01-31,14.6,-0.2,71,14.4,0.0
2000-02-01,10.3,8.0,82,17.9,6.2
2000-02-02,14.0,5.8,75,13.7,5.8
2000-02-03,21.4,4.1,71,13.8,0.0
2000-02-04,15.7,6.8,49,24.5,0.0
2000-02-05,12.7,1.4,53,12.4,0.0
2000-02-06,17.3,2.3,76,18.4,0.0
2000-02-07,21.9,10.7,77,12.3,0.5
2000-02-08,21.9,6.0,67,9.4,0.0
2000-02-09,22.6,9.7,74,25.3,0.0
2000-02-10,26.6,14.3,76,23.8,0.0
2000-02-11,26.4,11.6,68,15.2,0.0
2000-02-12,19.2,9.4,73,18.2,0.0
2000-02-13,27.1,12.8,59,22.4,0.0
2000-02-14,23.8,8.1,46,10.7,0.0
2000-02-15,26.0,11.9,75,17.7,0.0
2000-02-16,25.0,17.9,82,15.5,0.1
2000-02-17,26.5,18.6,83,30.7,2.1
2000-02-18,25.5,15.1,68,23.4,1.3
2000-02-19,18.0,7.4,41,21.3,0.0
2000-02-20,19.5,9.0,45,11.3,0.0
2000-02-21,22.4,10.8,73,20.3,0.0
2000-02-22,23.5,16.3,80,29.9,0.4
2000-02-23,25.6,16.3,70,22.8,10.3
2000-02-24,26.4,17.0,78,34.7,0.3
2000-02-25,27.2,18.4,77,29.7,1.4
2000-02-26,21.1,10.1,56,25.1,20.6
2000-02-27,21.5,6.3,49,10.8,0.0
2000-02-28,22.8,6.9,61,22.9,0.0
2000-02-29,25.5,15.5,77,25.3,0.2
2000-03-01,24.6,17.8,84,17.8,0.1
2000-03-02,26.2,18.1,75,32.1,0.2
2000-03-03,19.8,12.0,56,24.3,0.2
2000-03-04,18.9,6.9,54,15.7,0.0
2000-03-05,21.8,8.3,65,20.1,0.0
2000-03-06,26.4,16.3,73,23.5,0.4
